,id,alias,name,description,subscriptionCount,subscribed,notificationType,read,createdAt,updatedAt,canPost,ignorePost,invisible,isSchool,userSchool,fullyAnonymous,canUseNickname,canUseSchool,postThumbnail,shouldCategorized,shouldPostCategorized,hasPostCategories,titlePlaceholder,postTitlePlaceholder,ipCountryCondition,subcategories,topics,nsfw,mediaThreshold,limitCountries,limitStage,availableLayouts,heroImage,logo,postCount,favorite,isPersonaPage,isFeaturedPage,enablePrivateMessage,restrictIdentityOnComment,enableSelectedPosts,displaySelectedPostsTab,allowModManageSelectedPosts,displayGroupChatEntry,enableHintedValidations,enableEditedHistory
328,8a2a0b9a-7664-49b0-bff7-58389ef73a0d,weight_loss,減肥,本板供大家討論減肥上的任何問題和困難，在減肥路上找到夥伴一起努力一定會更有動力，如果覺得減肥的路上很孤單、路很長，可以上來多多交流，期待都能夠達到自己的目標💜,555579,False,,False,2020-02-04T07:45:23.573Z,2022-08-16T03:53:09.054Z,True,False,False,False,,False,True,True,{'size': 'small'},False,True,True,,,"{'exclude': [], 'include': []}",[],"['請益', '食譜', '分享', '心得', '閒聊', '討論', '知識', '減肥進化史', '飲食', '運動', '勵志', '減脂', '減重', '健身', '女孩', '瘦身', '重訓', '減肥板']",False,{},[],0,"['classic', 'link', 'poll']","{'url': 'https://megapx-assets.dcard.tw/images/f7247eb7-828d-40cd-a5f1-cd1de4c210c7/orig.jpeg', 'type': 'image/jpeg', 'width': 1800, 'height': 599}","{'url': 'https://megapx-assets.dcard.tw/images/8bf5bed9-c587-46f5-b740-ddf03b2bfd43/full.jpeg', 'type': 'image/jpeg', 'width': 200, 'height': 200}",{'last30Days': 375},False,False,False,True,False,True,True,True,False,False,True
287,0a859162-88d8-4406-8111-71c57aae84a1,netflix,Netflix,"希望大家能一起創造友善小天地
分享我們對於Netflix 的熱愛
ENJOY❤️
**請不要在這裡揪團買帳號，不要交換資料，會禁言**",534805,False,,False,2020-02-04T07:38:33.573Z,2022-08-16T03:53:09.054Z,True,False,False,False,,False,True,True,{'size': 'small'},False,True,True,,請一定要標註有無雷,"{'exclude': [], 'include': []}",[],"['Netflix', '影集', '美劇', '電影', '推薦', '觀後感', '韓劇', '魷魚遊戲', 'netflix', '有雷', '愛情']",False,{},[],0,"['classic', 'link', 'video']","{'url': 'https://megapx-assets.dcard.tw/images/9d953264-c016-49a1-95a3-24c9342cb6ad/full.jpeg', 'type': 'image/jpeg', 'width': 600, 'height': 200}","{'url': 'https://megapx-assets.dcard.tw/images/e8ca3a5d-612f-45b7-8cff-55fc58167911/full.jpeg', 'type': 'image/jpeg', 'width': 200, 'height': 200}",{'last30Days': 119},False,False,False,False,False,True,False,True,False,False,True
347,6eeeafb2-9dac-4d81-ae4b-ffecf0ad4444,job,工作,本板提供分享面試經驗、職場心得、打工或實習經驗等相關工作話題。（徵才的職務刊登前請務必詳細閱讀置頂文。）,517815,False,,False,2020-02-04T07:48:33.573Z,2022-08-16T03:53:09.054Z,True,False,False,False,,True,True,True,{'size': 'small'},True,False,False,發文記得加入「話題」分類喲！,,"{'exclude': [], 'include': []}","['精選', '徵才', '經驗分享', '職業介紹', '勞工權益']","['面試經驗', '2020聯合校徵', '面試心得', '面試小技巧', '履歷教學', '航空業', 'Askmeanything', '應屆畢業生', '員工餐', '工作經驗', '空服員', '面試', '慣老闆', '奧客', '勞工權益', '勞基法', '薪資', '履歷', '打工職缺', '實習職缺', '試用期', '離職', '徵才', '實習']",False,{},[],0,['classic'],"{'url': 'https://megapx-assets.dcard.tw/images/2c5eab50-c8b4-44c0-bf5e-1fb057a38199/full.jpeg', 'type': 'image/jpeg', 'width': 1800, 'height': 600}","{'url': 'https://megapx-assets.dcard.tw/images/78eda0aa-6451-4d23-961a-5071325485a8/full.jpeg', 'type': 'image/jpeg', 'width': 200, 'height': 200}",{'last30Days': 4019},False,False,False,False,False,False,False,False,False,False,True
346,fc7574ad-e1df-43d2-bb06-8825c718c065,trending,時事,"時事板歡迎針對國內外議題、國家政策、即時新聞等討論，也可在此分享時事議題的社論。

為共同維護時事板討論品質，您瞭解 Dcard 必須透過身分驗證程序，確保每一位發表意見、參與互動的帳號均為真實存在的卡友。Dcard 實施身分驗證程序而向您蒐集的身分證、健保卡、居留證等個人資料，僅供 Dcard 審核使用，Dcard 不會將您為此提供的任何資料給 Dcard 的業務合作對象、主管機關或任何第三人利用，具體規範請詳閱 Dcard 知識庫〈Dcard 會如何處理我上傳的個人證件資料？〉（https://about.dcard.tw/faq/posts/98）",517142,False,,False,2020-02-04T07:48:23.573Z,2022-08-16T03:53:09.054Z,True,False,False,False,,False,True,True,{'size': 'small'},False,False,False,發文記得加入「話題」分類喲！,即日起於時事板發文，需先更新至最新版本 app，並完成個人資料驗證。若未完成將可能導致發文失敗。,{},"['新聞', '討論', '爆料', '社論']",[],False,{},[],0,"['classic', 'link', 'video']","{'url': 'https://megapx-assets.dcard.tw/images/b160637b-af6d-4105-9edf-49d58de3088b/orig.jpeg', 'type': 'image/jpeg', 'width': 1800, 'height': 600}","{'url': 'https://megapx-assets.dcard.tw/images/4c8abb6f-513d-4d9c-ae20-a11f7642172a/full.jpeg', 'type': 'image/jpeg', 'width': 200, 'height': 200}",{'last30Days': 1749},False,False,False,False,True,False,False,False,False,True,True
261,7ee21581-1307-4ba9-b9dc-82028bdcca49,pet,寵物,寵物板無論是貓狗、毛小孩或任何養其他寵物的經驗都可以在此討論，另外像是寵物協尋或動物醫院的分享也歡迎發文！,517130,False,,False,2020-02-04T07:34:13.573Z,2022-08-16T03:53:09.054Z,True,False,False,False,,False,True,True,{'size': 'large'},True,False,False,發文記得加入「話題」分類喲！,,"{'exclude': [], 'include': []}","['精選', '協尋', '狗', '貓', '小動物', '爬蟲', '水族']","['毛起來攝攝', '領養代替購買', '米克斯', '貓', '狗', '柯基', '柴犬', '認養', '貓咪真的很可愛', '動物醫院', '寵物美容', '結紮', '寵物店', '鳥', '兔', '魚', '刺蝟', '植物', '驅蟲', '疫苗']",False,{},[],0,"['classic', 'link', 'video']","{'url': 'https://megapx-assets.dcard.tw/images/078d5aff-eb34-48e9-b220-d61ddd285843/full.jpeg', 'type': 'image/jpeg', 'width': 1800, 'height': 600}","{'url': 'https://megapx-assets.dcard.tw/images/7608bd5b-19a5-4289-9be7-2479a55bba5a/full.jpeg', 'type': 'image/jpeg', 'width': 200, 'height': 200}",{'last30Days': 1560},False,False,False,False,False,False,False,False,False,False,True
447,2fb88b62-aa28-4b18-af51-dda08dd037a9,stock,股票,"本板為股票專門討論板，討論內容不侷限台灣股市，貼文必須有股市相關點，並符合板規規範，若貼文內容違反規定，板主將透過管理後臺刪除貼文，貼文刪除的同時，會依照板規規範自動禁止發文者繼續於本看板發言。

發文前請先看下板規，才不會踩到喔",487480,False,,False,2020-11-19T09:17:31.052Z,2022-12-02T22:06:28.212Z,True,False,False,False,,False,True,True,{'size': 'small'},False,True,True,,"⚠️發文請記得選分類⚠️
❗️選了分類就不用再重複輸入❗️
#標的 #新聞 #分享 #請益 #畢業 #其他",{},[],"['分享', '請益', '標的', '其他', '新聞', '畢業', '求穩派', '冒險派', '投資', '台股', '我的投資初體驗', '理財', '股市', '美股', '技術分析', '新手', '狼王']",False,{},[],0,"['classic', 'link', 'poll']","{'url': 'https://megapx-assets.dcard.tw/images/bc0c4cf3-3b79-4697-9a22-75da3ec6c7c4/orig.jpeg', 'type': 'image/jpeg', 'width': 600, 'height': 200}","{'url': 'https://megapx-assets.dcard.tw/images/fb2eb050-73eb-4d13-a200-22fbab9a4b4d/orig.jpeg', 'type': 'image/jpeg', 'width': 200, 'height': 200}",{'last30Days': 426},False,False,False,False,False,True,True,True,True,False,True
234,f72e3b1d-3c9a-4fec-8a61-41c76cc317af,girl,女孩,專屬女孩的討論板，提供和女生有關的話題討論。也能在這裡匿名分享、抒發、詢問遇到的困擾，就像有一群閨蜜陪你度過每一天！,468302,False,,False,2020-02-04T07:29:43.573Z,2022-08-16T03:53:09.054Z,True,False,False,False,,True,True,True,{'size': 'small'},False,False,False,發文記得加入「話題」分類喲！,,"{'exclude': [], 'include': []}","['購物', '髮型', '心事']","['孫藝珍膠原', '心事', '男友', '比基尼', '除毛', 'WhatsInMyBag', '內衣', '家人', '發胖', '桌布', '懷孕', '處女膜', '減肥', '第一次', '健身', '相處', '改造', '約炮', '月經', '小胸女孩', '手機桌布', '私密處', '疫苗', '霧眉', '念珠菌', '分手禮', '陰道冠', '豐胸', '韓服', '精品', '大胸女孩', '牙套', '夜店', '後背包', '皮膚科', '短夾', '棉條', '吊飾', '雙眼皮', '無肩帶內衣']",False,{},[],0,"['classic', 'link']","{'url': 'https://megapx-assets.dcard.tw/images/a2b478f6-b7fc-4ea8-bb1b-38154772a736/orig.jpeg', 'type': 'image/jpeg', 'width': 1800, 'height': 600}","{'url': 'https://megapx-assets.dcard.tw/images/0bba80d2-1a43-4f58-ac9a-a195e049a6a4/orig.jpeg', 'type': 'image/jpeg', 'width': 200, 'height': 200}",{'last30Days': 2334},False,False,False,False,False,False,False,False,False,False,True
229,75a726e6-d4e3-4902-a410-2430a39fffcb,mood,心情,提供分享生活情緒、抒發心情或交流各種情緒處理的經歷故事。在這裡你可以安心匿名，用無壓力的書寫方式與卡友分享你的生活點滴。,461892,False,,False,2020-02-04T07:28:53.573Z,2022-08-16T03:53:09.054Z,True,False,False,False,,True,True,True,{'size': 'small'},False,False,False,發文記得加入「話題」分類喲！！,,{},[],"['女大十八變', '租屋糾紛', '畢旅', '感動的事', '一句晚安', '想念你', '謝謝你', '靠北', '勵志', '情緒勒索', '霸凌', '憂鬱症']",False,{},[],0,['classic'],"{'url': 'https://megapx-assets.dcard.tw/images/b34fa540-50a5-4f8e-ab24-9fc7b14c1b7d/full.jpeg', 'type': 'image/jpeg', 'width': 1800, 'height': 600}","{'url': 'https://megapx-assets.dcard.tw/images/f1be2fc4-d860-4853-a7df-0a9fe0a2dc38/full.jpeg', 'type': 'image/jpeg', 'width': 200, 'height': 200}",{'last30Days': 9939},False,False,False,False,False,False,False,False,False,False,True
232,73c0282a-f7ef-4300-bf66-57e97bc0fc27,joke,笑話,歡迎分享各種類型的笑話、梗圖、meme，不管是好笑的、冷場的、能讓人引發思考的，或者是諷刺社會時事都可以分享。,435196,False,,False,2020-02-04T07:29:23.573Z,2022-08-16T03:53:09.054Z,True,False,False,False,,False,True,True,{'size': 'small'},False,False,False,,,"{'exclude': [], 'include': []}",[],"['地獄梗', 'meme', '梗圖', '冷笑話', '有趣', '貢丸']",False,{},[],0,"['classic', 'link']","{'url': 'https://megapx-assets.dcard.tw/images/a6a4e947-e535-492c-9deb-b439c6073002/orig.jpeg', 'type': 'image/jpeg', 'width': 1800, 'height': 600}","{'url': 'https://megapx-assets.dcard.tw/images/cc5fc118-171f-4602-ae34-e936c31b66d7/orig.jpeg', 'type': 'image/jpeg', 'width': 200, 'height': 200}",{'last30Days': 69},False,False,False,True,False,False,False,False,False,False,True
307,14185ae6-44ab-45e2-88da-ae97e0159c9f,acg,動漫,動漫板提供各種輕小說、動畫討論、新番推薦、公仔模型、同人二創或Cosplay分享，動漫周邊或動漫展情報也歡迎在此發文討論。,433111,False,,False,2020-02-04T07:41:53.573Z,2022-08-16T03:53:09.054Z,True,False,False,False,,False,True,True,{'size': 'small'},True,False,True,請記得在話題加入「作品名稱」或其他相關分類喲！,發文前請詳閱置頂板規公告文以免違規！,{},"['精選', '情報', '心得', '推坑', '同人', 'COS']","['動漫展', 'Cosplay', '動漫周邊', '動漫歌單', '推坑', '新番', '聲優', '動畫化', 'Vocaloid', '童年回憶', '輕小說', 'MAD', '動畫', '漫畫', '二創']",False,{},[],0,"['classic', 'image', 'video', 'link']","{'url': 'https://megapx-assets.dcard.tw/images/79da68ac-0a0a-477b-b677-f00fba9adffd/full.jpeg', 'type': 'image/jpeg', 'width': 1800, 'height': 600}","{'url': 'https://megapx-assets.dcard.tw/images/4019a9d5-4b92-4ebd-a3fa-925eed513953/full.jpeg', 'type': 'image/jpeg', 'width': 200, 'height': 200}",{'last30Days': 749},False,False,False,True,False,True,True,True,False,False,True
231,a1aaa6e6-2594-4968-b7dc-e1b14bea96f4,funny,有趣,有趣板歡迎發表任何自己或親友的耍笨事蹟！各種好笑、傻眼、母湯的生活趣事或笑話大全通通都可以在此發表。,409000,False,,False,2020-02-04T07:29:13.573Z,2022-08-16T03:53:09.054Z,True,False,False,False,,False,True,True,{'size': 'small'},False,False,False,發文記得加入「話題」分類喲！,,"{'exclude': [], 'include': []}",[],"['笑話', '梗圖', 'Wootalk', '愛莉莎莎', '黃金12猛漢', '撩妹', '微西斯', '貼圖', '網紅', '火柴人', '您還親切的問我要冰還熱', '傻眼', '奶奶好可愛', '這年頭的香腸都喜歡玩躲貓貓', '搞笑', '童年回憶', '撩妹語錄', '糗事', '惡搞', '接龍', '宿舍生活', '有趣日常']",False,{},[],0,"['classic', 'link', 'video']","{'url': 'https://megapx-assets.dcard.tw/images/99728ad7-2b6e-47de-b243-7d83ab34aa8d/full.jpeg', 'type': 'image/jpeg', 'width': 1800, 'height': 600}","{'url': 'https://megapx-assets.dcard.tw/images/d45f9407-d676-4e38-9da3-2a99cf2f0895/full.jpeg', 'type': 'image/jpeg', 'width': 200, 'height': 200}",{'last30Days': 1351},False,False,False,False,False,False,False,False,False,False,True
257,5b964198-2e59-419d-b44c-0276d0fea7e8,house,居家生活,居家生活板以家或個人空間出發，舉凡室內設計、空間風格、裝潢、what’s in my room、收納技巧甚至租屋注意事項等實用資訊分享，或可提升居住品質的相關內容皆可在此討論！,405803,False,,False,2020-02-04T07:33:33.573Z,2022-08-16T03:53:09.054Z,True,False,False,False,,False,True,True,{'size': 'small'},True,False,False,發文記得加入「話題」分類喲！,,"{'exclude': [], 'include': []}",[],"['WhatsInMyRoom', '居家佈置', '空間風格', '租屋', '室內香氛', '家具', '輕裝潢', '收納', '租屋糾紛']",False,{},[],0,"['classic', 'link', 'ecSharing', 'image', 'video']","{'url': 'https://megapx-assets.dcard.tw/images/a3abad1a-69fc-4234-992f-74208538977c/full.jpeg', 'type': 'image/jpeg', 'width': 1800, 'height': 600}","{'url': 'https://megapx-assets.dcard.tw/images/e88310f9-8a54-433b-a27f-f72e9760f8ef/full.jpeg', 'type': 'image/jpeg', 'width': 200, 'height': 200}",{'last30Days': 589},False,False,False,False,False,False,False,False,False,False,True
